EmployeeID,Age,Gender,Tenure,JobSatisfaction,Salary,WeeklyHours,Department,LeftCompany
69,59,Male,12.4,2,69532,47,Finance,0
70,40,Male,2.8,4,84253,44,HR,0
71,35,Male,3.5,3,42323,48,IT,0
72,37,Female,9.5,3,141335,52,Operations,0
73,43,Female,13.6,3,142356,53,Sales,0
74,45,Female,4.7,1,140944,41,Finance,1
75,44,Female,8.8,4,103379,42,HR,0
76,48,Male,10.2,4,44210,51,IT,0
77,34,Male,6.8,5,46456,40,Sales,1
78,20,Male,10.7,5,61367,34,HR,0
79,44,Female,13.5,5,84624,58,HR,0
80,26,Female,9.4,3,40106,30,Sales,0
81,28,Male,8.1,4,133493,53,IT,0
82,43,Male,6.6,3,98008,32,IT,0
83,20,Female,8.7,1,145395,51,Operations,0
84,27,Female,5.3,5,146492,48,Finance,1
85,43,Male,5.9,3,102240,52,Sales,0
86,30,Male,8.0,3,94315,58,Sales,0
87,36,Female,1.0,1,99249,59,Sales,0
88,27,Male,3.4,2,100587,36,IT,0
89,54,Male,8.1,4,40756,41,Finance,0
90,54,Male,6.5,2,98011,44,Operations,0
91,52,Female,5.0,5,66378,54,HR,1
92,24,Female,11.0,3,34255,34,HR,0
93,58,Female,10.4,1,44484,44,Sales,0
94,47,Female,2.5,1,86549,37,Finance,0
95,26,Female,13.2,4,64503,39,IT,0
96,28,Female,7.4,2,103794,55,Finance,0
97,27,Female,11.1,4,136283,45,Finance,1
98,31,Male,8.6,3,130732,37,IT,0
99,53,Male,15.0,4,75113,30,Sales,0
100,52,Male,11.3,1,135730,41,Finance,1
101,42,Male,10.6,1,104069,34,HR,0
102,43,Male,11.7,5,128117,32,IT,1
103,56,Male,2.1,5,35249,30,Operations,0
104,54,Male,3.1,3,149979,33,Sales,0
105,59,Female,10.7,2,49201,37,IT,0
106,41,Female,7.4,4,88576,32,Operations,0
107,46,Male,11.3,3,148562,39,Operations,0
108,54,Male,1.5,5,39686,31,Finance,0
109,20,Female,8.0,4,142413,40,Finance,0
110,54,Male,5.7,5,83363,54,Finance,0
111,56,Male,6.9,4,127543,39,IT,0
112,33,Female,9.1,2,30661,50,IT,1
113,22,Male,7.5,3,74843,43,Sales,0
114,20,Female,8.1,4,125673,36,Finance,0
115,24,Male,7.3,1,90963,56,Operations,0
116,45,Female,6.1,1,143092,56,HR,1
117,33,Female,11.6,4,72828,31,Sales,1
118,58,Female,0.2,4,78604,38,IT,0
119,46,Male,9.0,4,40526,45,Sales,0
120,28,Female,8.5,1,98910,42,Sales,0
121,34,Male,10.7,1,55592,38,Sales,0
122,34,Male,9.0,4,58982,49,Sales,0
123,45,Male,12.4,5,30207,33,HR,1
124,32,Male,14.4,5,130969,51,Finance,0
125,51,Female,5.1,2,147181,39,Operations,0
126,58,Female,3.4,3,118733,55,Sales,1
127,51,Male,6.4,5,128936,55,Sales,0
128,23,Male,4.3,1,98619,51,Sales,0
129,49,Female,9.2,5,59328,41,Finance,0
130,56,Male,13.7,2,76479,46,IT,1
131,42,Female,2.1,2,138427,43,IT,0
132,58,Male,1.5,3,50103,43,HR,1
133,34,Male,3.8,5,69891,54,IT,1
134,48,Female,10.9,1,40754,31,Sales,0
135,55,Male,8.9,1,129983,50,Sales,0
136,32,Female,1.5,4,111437,54,Sales,1
137,51,Male,13.8,1,128540,49,HR,0
138,26,Male,11.9,3,102982,40,Sales,1
139,41,Male,0.3,3,132747,45,IT,1
140,47,Female,9.8,1,85922,48,Finance,0
141,21,Male,11.6,1,78231,52,Finance,0
142,25,Male,5.6,4,59301,35,Operations,1
143,47,Male,1.0,1,121652,53,IT,0
144,47,Male,1.2,4,92711,48,Sales,0
145,39,Female,1.6,4,71323,34,Finance,0
146,49,Female,12.6,1,48752,55,IT,0
147,30,Male,13.7,2,127912,33,Finance,1
148,47,Female,1.8,2,112205,44,Sales,1
149,44,Male,3.5,4,128452,58,Finance,0
150,58,Male,2.5,1,43395,33,Operations,0
151,52,Male,2.8,2,115957,49,Operations,0
152,20,Female,12.6,1,86273,39,Finance,1
153,46,Female,5.0,1,121878,53,IT,0
154,32,Female,4.7,1,34895,51,IT,0
155,22,Female,3.4,5,149968,32,IT,0
156,58,Female,9.1,1,145700,55,Finance,0
157,25,Female,5.7,5,106559,34,IT,1
158,27,Female,11.2,4,40699,35,Sales,0
159,46,Female,3.1,2,95061,50,Operations,0
160,28,Female,11.8,2,39715,51,Sales,0
161,56,Male,9.1,2,49169,37,IT,1
162,52,Female,1.7,2,148413,36,Sales,0
163,43,Female,6.2,2,46163,50,IT,0
164,34,Female,13.0,2,149264,39,Finance,0
165,51,Female,13.8,2,35782,35,Sales,1
166,51,Female,7.0,4,118177,43,Finance,0
167,43,Female,7.2,1,114328,33,Finance,0
168,31,Female,13.8,3,145028,57,HR,0
169,58,Female,8.8,5,65585,54,IT,1
170,21,Female,0.5,3,60682,42,Operations,0
171,22,Female,13.7,3,77864,49,IT,1
172,56,Female,3.7,1,114416,46,Operations,0
173,36,Male,8.7,1,85114,52,IT,0
174,21,Male,2.5,1,68067,36,Finance,0
175,21,Female,0.5,2,72685,33,Sales,0
176,47,Female,4.7,4,48073,58,Sales,0
177,42,Male,11.7,2,66035,43,HR,1
178,56,Female,4.2,4,94977,32,Operations,0
179,51,Male,3.3,4,132710,53,Operations,0
180,52,Male,3.2,3,120373,34,Operations,1
181,20,Male,7.7,3,113362,45,Finance,1
182,38,Male,14.6,4,120517,55,Operations,0
183,21,Male,6.9,4,95450,52,Sales,0
184,45,Female,8.4,2,40382,49,Finance,1
185,51,Male,12.9,2,34437,33,IT,0
186,25,Female,8.0,3,100971,53,Operations,0
187,51,Female,2.8,1,94612,59,Operations,1
188,23,Male,4.5,4,120355,53,IT,0
189,30,Male,4.6,2,91929,31,Operations,0
190,36,Female,6.0,3,132411,59,IT,0
191,57,Male,6.4,2,127518,47,Finance,0
192,43,Male,12.0,4,128864,48,Sales,0
193,24,Female,5.2,4,42329,57,IT,0
194,53,Female,7.0,5,55169,57,HR,0
195,25,Male,9.4,1,117468,48,IT,1
196,41,Female,5.7,5,64594,46,Operations,1
197,30,Male,12.5,3,106957,43,Finance,0
198,35,Male,8.8,2,90631,48,Finance,0
199,52,Male,4.4,3,75033,51,IT,0
200,28,Female,10.7,4,93133,53,Sales,0
201,25,Female,7.9,5,103165,42,HR,1
202,35,Female,8.0,5,103861,41,Finance,1
203,48,Female,7.2,5,82290,59,Operations,0
204,22,Female,7.5,3,124031,55,Operations,1
205,39,Male,11.5,4,61750,35,Sales,0
206,55,Male,1.5,2,125155,50,Finance,0
207,38,Male,5.0,2,70461,33,IT,0
208,45,Male,1.1,3,103800,48,Operations,1
209,22,Female,11.3,5,108222,45,Sales,0
210,38,Male,4.1,1,142020,42,Finance,0
211,39,Female,13.5,3,54226,33,Finance,1
212,51,Male,7.9,3,36721,59,Finance,0
213,26,Female,12.0,4,86154,52,Finance,0
214,52,Female,14.7,2,50609,46,Finance,1
215,59,Male,12.6,3,82130,52,Operations,0
216,58,Male,13.0,3,102909,30,Sales,0
217,37,Male,6.1,5,134211,47,Finance,0
218,59,Male,8.3,5,85249,49,HR,0
219,20,Female,3.8,1,78895,46,HR,1
220,30,Male,2.9,4,124473,56,Sales,0
221,47,Male,7.6,1,35656,57,IT,0
222,44,Female,8.9,5,104520,56,IT,0
223,42,Male,5.1,2,93740,44,IT,0
224,50,Male,8.5,5,94309,40,HR,0
225,49,Male,13.3,4,59984,54,IT,0
226,54,Male,8.4,5,148947,57,Operations,0
227,26,Male,10.8,4,103822,51,Finance,0
228,35,Female,12.1,4,35901,42,HR,0
229,45,Male,14.8,4,61552,30,Sales,0
230,21,Male,9.0,4,121245,46,Sales,0
231,20,Male,12.1,4,61055,35,Finance,0
232,31,Male,14.4,2,67685,33,HR,0
233,24,Male,14.2,1,103965,49,IT,0
234,56,Female,2.1,3,44716,45,IT,0
235,51,Male,6.1,1,144099,44,Operations,1
236,28,Female,4.9,4,41138,56,Operations,0
237,54,Female,1.3,2,65298,44,IT,0
238,38,Male,9.5,5,81112,35,Sales,1
239,35,Male,11.0,2,53429,44,Sales,0
240,22,Male,12.7,4,80200,43,Operations,0
241,39,Male,1.8,2,101308,57,Finance,0
242,43,Female,13.1,2,78244,40,IT,0
243,52,Male,9.6,4,147217,36,Operations,1
244,43,Male,10.6,2,144055,38,Operations,0
245,30,Male,13.7,3,131268,55,IT,1
246,27,Male,9.4,3,135441,45,IT,0
247,55,Male,5.0,2,47347,34,Sales,0
248,57,Male,12.4,5,46920,54,Finance,0
249,59,Female,5.4,4,61822,49,Finance,0
250,39,Female,0.5,3,76659,58,IT,0
251,54,Male,12.5,5,70108,39,HR,1
252,44,Male,5.2,2,119099,47,Operations,0
253,54,Male,11.6,5,37967,32,Operations,0
254,44,Female,5.4,1,140719,42,IT,0
255,48,Male,12.9,3,41871,40,HR,0
256,37,Female,3.3,2,124299,46,Sales,0
257,37,Male,14.6,4,107452,59,IT,1
258,21,Male,11.7,2,104270,59,IT,0
259,54,Male,1.7,4,63613,51,Operations,0
260,35,Male,8.5,2,58179,42,IT,0
261,55,Female,14.8,5,82188,35,IT,1
262,52,Female,7.1,5,85099,46,IT,1
263,23,Male,2.7,5,65262,56,Operations,0
264,52,Male,7.3,1,108213,42,Sales,0
265,33,Female,7.7,4,147407,48,Sales,1
266,40,Female,11.1,5,48268,50,IT,0
267,39,Female,10.5,1,107866,48,Operations,1
268,27,Female,6.0,4,116269,39,Sales,0
269,26,Male,3.3,2,90545,32,Sales,0
270,22,Female,9.7,1,133483,43,Sales,1
271,36,Male,6.3,3,122822,55,Operations,1
272,52,Female,2.0,1,102146,48,Operations,0
273,31,Female,13.5,1,101966,34,IT,0
274,41,Female,10.4,4,69922,58,Finance,0
275,41,Female,10.2,2,109364,34,Sales,0
276,49,Female,12.3,3,72913,49,Finance,0
277,57,Male,7.9,5,127033,46,Operations,0
278,57,Male,12.2,5,134792,50,Operations,1
279,27,Female,7.5,1,149425,39,Operations,0
280,46,Female,1.0,4,85677,34,Finance,0
281,46,Male,6.1,4,132154,33,Operations,0
282,53,Female,7.5,5,79841,35,IT,0
283,40,Female,10.8,3,76332,55,Operations,0
284,49,Male,1.6,2,122062,33,HR,1
285,52,Female,2.1,3,149863,59,Finance,0
286,47,Female,4.0,2,125694,36,HR,1
287,52,Male,4.0,5,55032,36,Operations,1
288,24,Male,11.0,2,67846,47,IT,0
289,38,Male,3.8,4,89474,32,Sales,1
290,23,Female,9.5,1,74936,30,Operations,1
291,54,Male,7.4,1,59794,53,IT,0
292,36,Male,8.6,5,91588,54,Finance,0
293,47,Male,12.6,4,100984,33,HR,0
294,49,Male,6.1,3,80331,35,HR,0
295,48,Male,11.6,4,124397,38,HR,1
296,25,Male,6.3,1,58141,51,Finance,0
297,54,Female,5.3,1,39074,43,IT,1
298,56,Female,14.4,4,36406,57,Finance,0
299,43,Male,2.8,4,127359,41,HR,0
300,48,Male,1.4,1,53291,57,Operations,1
301,50,Male,11.6,3,71568,54,Sales,0
302,54,Female,1.0,5,127539,49,Finance,0
303,52,Female,12.6,5,76851,53,Finance,0
304,40,Female,6.6,4,129942,54,IT,0
305,51,Female,13.7,5,84823,33,IT,0
306,42,Female,10.8,1,53312,50,Finance,0
307,52,Female,9.2,1,73108,59,HR,0
308,22,Female,14.2,4,96918,53,Sales,1
309,37,Female,5.9,4,64171,41,IT,0
310,44,Female,14.3,4,71779,39,HR,0
311,50,Male,2.0,3,98828,59,Operations,0
312,22,Male,7.3,5,137315,51,IT,1
313,59,Male,4.0,4,128723,57,HR,0
314,43,Male,8.1,2,42411,36,HR,0
315,51,Female,2.4,2,132821,32,Sales,0
316,41,Female,12.6,1,147990,52,Sales,0
317,42,Male,12.7,5,87009,57,Operations,1
318,21,Female,14.3,4,45422,43,HR,0
319,46,Male,2.3,2,72468,53,HR,0
320,21,Female,9.3,5,62371,39,Sales,0
321,45,Male,7.1,1,87022,45,IT,0
322,36,Female,5.2,3,101229,45,IT,1
323,59,Female,5.3,5,129071,51,Finance,1
324,52,Male,6.2,5,81196,39,Sales,0
325,28,Female,10.6,3,110354,54,Finance,1
326,58,Male,9.0,5,126774,42,Sales,1
327,48,Male,6.9,1,126410,35,Operations,0
328,45,Male,1.1,1,56715,41,HR,0
329,54,Male,1.2,3,57605,38,Operations,0
330,44,Female,0.0,4,129853,42,Sales,1
331,43,Female,14.5,2,61174,33,HR,1
332,32,Female,0.1,4,39956,53,IT,1
333,26,Male,1.5,5,134444,40,IT,1
334,55,Female,4.7,2,106373,49,Finance,0
335,39,Male,12.1,3,99252,47,Sales,1
336,20,Female,14.4,3,91949,55,Sales,1
337,27,Female,11.9,2,92646,40,IT,0
338,35,Female,10.4,1,100017,54,Operations,0
339,33,Male,7.8,2,93037,50,HR,1
340,31,Female,1.3,5,119818,33,Operations,0
341,42,Female,14.4,1,36548,47,Operations,1
342,34,Male,11.4,3,146981,30,IT,0
343,47,Female,9.6,2,133141,56,IT,0
344,53,Male,11.4,4,103294,36,IT,1
345,21,Female,10.9,4,139204,35,Finance,0
346,51,Male,9.6,5,53177,44,Operations,0
347,42,Male,14.7,4,54022,47,Sales,0
348,41,Female,13.6,2,136297,53,HR,1
349,44,Male,9.7,2,35542,40,Finance,0
350,41,Male,10.4,4,121012,49,Sales,1
351,41,Male,0.8,2,126320,53,Operations,0
352,25,Male,10.0,5,90428,44,IT,1
353,34,Male,0.7,1,52740,45,Operations,1
354,56,Male,8.8,5,89353,36,HR,0
355,52,Female,15.0,5,120353,50,Finance,0
356,27,Male,8.3,2,143132,39,Finance,0
357,24,Male,7.1,1,86532,55,HR,0
358,58,Female,4.7,2,46052,41,Sales,0
359,23,Female,1.8,3,130689,53,Sales,0
360,25,Female,11.0,2,77076,43,Finance,0
361,51,Female,2.9,2,83420,54,Finance,0
362,49,Female,1.7,2,30671,34,IT,0
363,54,Female,6.3,1,30163,55,Sales,0
364,59,Female,11.9,2,71424,50,HR,1
365,35,Male,11.2,1,139538,47,Sales,0
366,32,Male,0.8,4,83744,34,IT,0
367,49,Female,6.8,3,100331,32,Finance,0
368,38,Male,7.8,1,40634,52,Finance,1
369,36,Male,9.7,4,34798,55,IT,1
370,38,Male,9.8,1,52420,34,HR,1
371,47,Female,5.5,1,147043,53,Finance,1
372,45,Female,8.4,3,59300,46,Operations,0
373,56,Male,7.2,5,119881,48,Finance,1
374,45,Female,13.3,5,40749,48,Operations,1
375,42,Male,8.0,1,134131,54,IT,0
376,28,Male,6.6,2,55121,50,IT,1
377,31,Male,6.1,4,67487,41,Finance,0
378,20,Male,8.6,2,123947,54,Sales,0
379,20,Female,12.1,2,63361,58,Operations,0
380,53,Female,8.1,1,51223,38,HR,0
381,51,Female,9.9,1,102930,30,Finance,0
382,44,Male,11.1,1,44056,47,HR,0
383,59,Female,7.8,1,58380,50,Finance,0
384,20,Male,6.4,5,56035,33,Sales,0
385,35,Female,13.1,1,60620,39,Sales,1
386,58,Male,6.3,5,49877,54,Sales,0
387,24,Male,6.9,5,85316,36,Sales,0
388,41,Male,14.9,1,94041,51,IT,1
389,48,Female,0.0,3,138940,52,IT,1
390,22,Female,2.8,4,147360,30,Operations,0
391,31,Female,5.8,2,83352,46,HR,1
392,45,Female,14.0,5,60911,53,Finance,1
393,35,Male,1.1,4,62784,58,Finance,1
394,56,Female,0.1,3,33191,58,IT,0
395,41,Female,0.8,2,63160,31,Finance,0
396,48,Male,1.3,2,120536,57,IT,0
397,33,Male,0.6,5,134576,55,Operations,0
398,47,Male,7.2,1,94641,40,HR,0
399,24,Female,8.7,3,79723,38,Operations,0
400,49,Male,4.1,5,33631,36,Sales,0
401,24,Male,6.0,3,36172,51,Sales,0
402,31,Male,1.4,1,72080,46,Sales,0
403,35,Female,5.0,1,119097,46,Operations,1
404,45,Male,7.8,5,120353,31,Finance,0
405,45,Female,11.0,1,50281,35,HR,0
406,40,Female,0.1,4,58671,43,Sales,1
407,58,Male,7.0,2,81431,35,Sales,0
408,55,Male,4.5,5,120900,31,Sales,0
409,52,Female,12.8,3,137210,30,HR,1
410,49,Male,10.7,4,122961,39,Sales,0
411,56,Male,8.8,5,145463,50,HR,1
412,42,Female,4.2,1,58602,34,Sales,0
413,29,Female,13.7,1,118789,31,Operations,0
414,24,Male,0.7,1,81399,51,Operations,0
415,55,Female,1.6,1,53472,45,HR,0
416,53,Male,5.9,3,79230,54,Operations,1
417,50,Male,1.9,4,103616,31,HR,0
418,29,Male,14.3,2,37099,39,Operations,0
419,38,Female,12.0,3,148614,31,Operations,0
420,51,Male,3.9,3,55431,45,HR,0
421,20,Male,8.8,2,86492,45,Finance,0
422,24,Male,14.7,2,126722,48,Operations,0
423,23,Female,13.3,1,77684,58,Sales,0
424,35,Female,9.0,3,60111,36,Finance,0
425,43,Female,13.6,5,135387,51,HR,0
426,35,Female,14.8,2,93936,41,Finance,0
427,21,Female,11.2,2,52614,53,IT,0
428,47,Male,1.0,4,122260,44,IT,1
429,51,Female,6.0,5,71991,37,Operations,0
430,46,Female,12.6,5,100476,35,Operations,0
431,39,Female,3.5,2,147959,57,Sales,0
432,43,Male,12.5,1,90920,56,Finance,0
433,31,Female,1.8,4,124294,39,IT,0
434,54,Female,0.7,5,93530,32,Operations,0
435,52,Male,5.8,2,66224,48,Finance,1
436,52,Female,0.6,5,37788,46,Operations,0
437,56,Male,14.4,4,58082,36,Operations,1
438,31,Male,12.4,4,119570,50,IT,1
439,22,Male,12.0,3,131015,49,IT,0
440,20,Male,9.4,2,106816,55,Operations,0
441,52,Male,3.2,4,113588,33,HR,0
442,59,Female,7.8,3,46531,43,Operations,0
443,29,Male,9.0,3,118340,49,Operations,1
444,48,Male,7.9,5,124439,51,Sales,0
445,32,Female,3.9,5,74857,44,Sales,0
446,31,Male,7.7,3,40142,53,Sales,1
447,50,Female,7.4,5,145053,37,HR,0
448,21,Female,14.9,4,78355,50,HR,0
449,54,Female,13.5,1,39866,44,Operations,0
450,42,Male,7.0,4,100067,51,Sales,0
451,36,Male,9.3,3,140990,49,HR,1
452,45,Male,11.2,3,133634,57,IT,0
453,27,Female,0.5,4,133814,43,Operations,0
454,48,Male,13.4,5,94027,56,Finance,0
455,45,Male,12.9,5,87906,58,Operations,0
456,29,Male,6.9,3,58138,38,Finance,0
457,45,Female,5.9,2,122601,37,Sales,0
458,53,Female,4.1,5,59956,55,Finance,0
459,26,Male,7.2,4,137268,57,Sales,1
460,23,Male,0.7,5,134797,55,IT,0
461,30,Male,12.8,4,106295,46,Finance,0
462,48,Male,0.5,3,35439,31,Operations,0
463,55,Female,4.9,5,77241,54,Sales,1
464,44,Female,14.0,4,72533,53,Operations,0
465,40,Female,11.0,3,58270,59,HR,0
466,55,Female,4.2,2,108815,32,Sales,1
467,29,Male,3.8,4,69279,37,Finance,0
468,56,Male,0.1,2,139787,41,Sales,0
469,28,Male,10.4,2,53888,30,Operations,0
470,43,Female,0.7,1,47630,39,IT,0
471,54,Male,8.0,5,91063,49,Sales,1
472,54,Female,14.4,4,148527,32,Finance,0
473,55,Female,1.6,2,65144,35,HR,0
474,37,Male,13.4,1,82161,36,IT,1
475,58,Male,14.9,3,126718,49,HR,0
476,51,Male,0.9,4,121074,52,Sales,0
477,43,Female,13.2,2,107360,54,Operations,0
478,42,Male,7.7,5,80979,56,Operations,0
479,51,Female,13.6,1,127661,47,Finance,0
480,56,Male,8.6,2,36979,40,Operations,0
481,31,Female,9.9,5,56189,48,IT,0
482,32,Female,8.2,2,72600,34,Operations,0
483,42,Male,13.0,4,89560,48,Finance,1
484,44,Female,11.0,4,108040,40,Sales,0
485,54,Female,7.8,4,91558,53,Sales,0
486,49,Male,13.0,1,116205,41,Operations,0
487,36,Female,3.7,4,36910,39,HR,0
488,39,Male,2.4,5,87713,37,Sales,0
489,44,Female,2.4,2,76857,53,Operations,0
490,41,Male,5.0,3,64964,57,Finance,0
491,32,Male,3.6,5,115667,57,Operations,1
492,38,Female,14.0,5,55227,38,Sales,0
493,55,Female,1.6,4,35978,33,Finance,1
494,31,Female,10.5,1,117527,34,Operations,0
495,38,Female,2.8,2,47153,50,IT,1
496,31,Female,13.2,1,89765,37,Finance,0
497,28,Male,14.4,2,129084,52,IT,1
498,26,Female,7.0,2,138212,38,HR,0
499,47,Male,13.2,1,69071,44,Finance,0
500,33,Male,0.1,5,142990,44,IT,0
